longdist;internat;local;int_disc;billtype;pay;age;gender;marital;children;income
3,52;0;49,65;Да;Бюджетный;CC;58;Женский;Одинокий;1;53357,4
3,52;0;49,65;Да;Бюджетный;CC;58;Женский;Одинокий;1;53357,4
3,53;0;257,19;Нет;Бюджетный;CC;45;Женский;Женат;2;67085,4
3,53;0;257,19;Нет;Бюджетный;CC;45;Женский;Женат;2;67085,4
3,53;0;257,19;Нет;Бюджетный;CC;45;Женский;Женат;2;67085,4
3,58;0;13,82;Нет;Бюджетный;CC;43;Мужской;Женат;2;68467,1
3,58;0;13,82;Нет;Бюджетный;CC;43;Мужской;Женат;2;68467,1
3,58;0;13,82;Нет;Бюджетный;CC;43;Мужской;Женат;2;68467,1
3,6;0;11,15;Нет;Бюджетный;CH;59;Мужской;Женат;0;77177,1
3,6;0;11,15;Нет;Бюджетный;CH;59;Мужской;Женат;0;77177,1
3,6;0;11,15;Нет;Бюджетный;CH;59;Мужской;Женат;0;77177,1
3,67;0;61,61;Нет;Бюджетный;CC;71;Женский;Женат;1;29902,9
3,67;0;61,61;Нет;Бюджетный;CC;71;Женский;Женат;1;29902,9
3,67;0;61,61;Нет;Бюджетный;CC;71;Женский;Женат;1;29902,9
3,69;0;22,92;Нет;Бюджетный;CH;96;Женский;Одинокий;1;32005,6
3,69;0;22,92;Нет;Бюджетный;CH;96;Женский;Одинокий;1;32005,6
3,69;0;22,92;Нет;Бюджетный;CH;96;Женский;Одинокий;1;32005,6
3,71;0,26;11,87;Нет;Бюджетный;CC;58;Женский;Женат;1;16350,3
3,71;0,26;11,87;Нет;Бюджетный;CC;58;Женский;Женат;1;16350,3
3,71;0,26;11,87;Нет;Бюджетный;CC;58;Женский;Женат;1;16350,3
3,71;0;10,22;Нет;Бесплатный;Auto;88;Женский;Одинокий;2;10764,6
3,71;0;10,22;Нет;Бесплатный;Auto;88;Женский;Одинокий;2;10764,6
3,71;0;10,22;Нет;Бесплатный;Auto;88;Женский;Одинокий;2;10764,6
3,72;0;36,5;Да;Бесплатный;CC;61;Мужской;Одинокий;0;72385,9
3,72;0;36,5;Да;Бесплатный;CC;61;Мужской;Одинокий;0;72385,9
3,72;0;36,5;Да;Бесплатный;CC;61;Мужской;Одинокий;0;72385,9
3,73;0;18,85;Нет;Бесплатный;Auto;76;Мужской;Женат;2;30933,6
3,73;0;18,85;Нет;Бесплатный;Auto;76;Мужской;Женат;2;30933,6
3,73;0;18,85;Нет;Бесплатный;Auto;76;Мужской;Женат;2;30933,6
3,74;0;15,13;Нет;Бюджетный;CC;68;Мужской;Женат;0;55059,2
3,74;0;15,13;Нет;Бюджетный;CC;68;Мужской;Женат;0;55059,2
3,74;0;15,13;Нет;Бюджетный;CC;68;Мужской;Женат;0;55059,2
3,75;0;9,26;Да;Бесплатный;CC;27;Мужской;Одинокий;1;86608,5
3,75;0;9,26;Да;Бесплатный;CC;27;Мужской;Одинокий;1;86608,5
3,75;0;9,26;Да;Бесплатный;CC;27;Мужской;Одинокий;1;86608,5
3,79;0;24,14;Да;Бесплатный;CC;71;Мужской;Одинокий;0;28273
3,79;0;24,14;Да;Бесплатный;CC;71;Мужской;Одинокий;0;28273
3,79;0;24,14;Да;Бесплатный;CC;71;Мужской;Одинокий;0;28273
3,82;0;65,68;Нет;Бюджетный;CH;79;Мужской;Женат;2;73113,3
3,82;0;65,68;Нет;Бюджетный;CH;79;Мужской;Женат;2;73113,3
3,82;0;65,68;Нет;Бюджетный;CH;79;Мужской;Женат;2;73113,3
3,86;0;20,85;Нет;Бесплатный;CH;62;Мужской;Одинокий;1;47503,9
3,86;0;20,85;Нет;Бесплатный;CH;62;Мужской;Одинокий;1;47503,9
3,86;0;20,85;Нет;Бесплатный;CH;62;Мужской;Одинокий;1;47503,9
3,86;0;37,21;Нет;Бюджетный;Auto;74;Женский;Одинокий;1;42002
3,86;0;37,21;Нет;Бюджетный;Auto;74;Женский;Одинокий;1;42002
3,86;0;37,21;Нет;Бюджетный;Auto;74;Женский;Одинокий;1;42002
3,89;0;67,73;Да;Бюджетный;CC;19;Мужской;Одинокий;0;71861,9
3,89;0;67,73;Да;Бюджетный;CC;19;Мужской;Одинокий;0;71861,9
3,89;0;67,73;Да;Бюджетный;CC;19;Мужской;Одинокий;0;71861,9
3,94;0;7,53;Нет;Бюджетный;Auto;37;Женский;Одинокий;0;74018,4
3,94;0;7,53;Нет;Бюджетный;Auto;37;Женский;Одинокий;0;74018,4
3,94;0;7,53;Нет;Бюджетный;Auto;37;Женский;Одинокий;0;74018,4
3,97;0;169,07;Нет;Бюджетный;CC;40;Женский;Женат;2;91051
3,97;0;169,07;Нет;Бюджетный;CC;40;Женский;Женат;2;91051
3,97;0;169,07;Нет;Бюджетный;CC;40;Женский;Женат;2;91051
3,99;0,1;53,69;Нет;Бесплатный;CH;78;Женский;Женат;0;50290,7
3,99;0,1;53,69;Нет;Бесплатный;CH;78;Женский;Женат;0;50290,7
3,99;0,1;53,69;Нет;Бесплатный;CH;78;Женский;Женат;0;50290,7
3,99;0;73,45;Да;Бесплатный;CH;40;Мужской;Женат;0;66223,5
3,99;0;73,45;Да;Бесплатный;CH;40;Мужской;Женат;0;66223,5
3,99;0;73,45;Да;Бесплатный;CH;40;Мужской;Женат;0;66223,5
4;0;6,11;Да;Бесплатный;CC;46;Мужской;Одинокий;0;90866,5
4;0;6,11;Да;Бесплатный;CC;46;Мужской;Одинокий;0;90866,5
4;0;6,11;Да;Бесплатный;CC;46;Мужской;Одинокий;0;90866,5
4,02;0;13,64;Нет;Бесплатный;CC;64;Мужской;Женат;1;92298
4,02;0;13,64;Нет;Бесплатный;CC;64;Мужской;Женат;1;92298
4,02;0;13,64;Нет;Бесплатный;CC;64;Мужской;Женат;1;92298
4,04;0;14,18;Да;Бюджетный;Auto;51;Женский;Женат;2;33790,9
4,04;0;14,18;Да;Бюджетный;Auto;51;Женский;Женат;2;33790,9
4,04;0;14,18;Да;Бюджетный;Auto;51;Женский;Женат;2;33790,9
4,05;1,16;93,47;Да;Бесплатный;CC;65;Женский;Одинокий;0;35219,6
4,05;1,16;93,47;Да;Бесплатный;CC;65;Женский;Одинокий;0;35219,6
4,05;1,16;93,47;Да;Бесплатный;CC;65;Женский;Одинокий;0;35219,6
4,19;0;161,82;Нет;Бесплатный;CC;76;Мужской;Женат;1;72996
4,19;0;161,82;Нет;Бесплатный;CC;76;Мужской;Женат;1;72996
4,19;0;161,82;Нет;Бесплатный;CC;76;Мужской;Женат;1;72996
4,2;0;114,63;Нет;Бюджетный;CH;81;Женский;Женат;2;3193,6
4,2;0;114,63;Нет;Бюджетный;CH;81;Женский;Женат;2;3193,6
4,2;0;114,63;Нет;Бюджетный;CH;81;Женский;Женат;2;3193,6
4,22;0;8,33;Нет;Бюджетный;CC;20;Женский;Женат;0;72626,4
4,22;0;8,33;Нет;Бюджетный;CC;20;Женский;Женат;0;72626,4
4,22;0;8,33;Нет;Бюджетный;CC;20;Женский;Женат;0;72626,4
4,23;0;114,26;Да;Бесплатный;CH;34;Женский;Женат;2;16616,3
4,23;0;114,26;Да;Бесплатный;CH;34;Женский;Женат;2;16616,3
4,23;0;114,26;Да;Бесплатный;CH;34;Женский;Женат;2;16616,3
4,27;0;57,62;Нет;Бюджетный;CH;54;Женский;Женат;0;37389,2
4,27;0;57,62;Нет;Бюджетный;CH;54;Женский;Женат;0;37389,2
4,27;0;57,62;Нет;Бюджетный;CH;54;Женский;Женат;0;37389,2
4,28;0;76,62;Нет;Бюджетный;CC;25;Женский;Одинокий;2;61463,7
4,28;0;76,62;Нет;Бюджетный;CC;25;Женский;Одинокий;2;61463,7
4,28;0;76,62;Нет;Бюджетный;CC;25;Женский;Одинокий;2;61463,7
4,3;0;7,16;Нет;Бюджетный;Auto;96;Мужской;Женат;1;2502,74
4,3;0;7,16;Нет;Бюджетный;Auto;96;Мужской;Женат;1;2502,74
4,3;0;7,16;Нет;Бюджетный;Auto;96;Мужской;Женат;1;2502,74
4,3;0;5,47;Да;Бюджетный;CC;82;Мужской;Женат;1;53582,6
4,3;0;5,47;Да;Бюджетный;CC;82;Мужской;Женат;1;53582,6
4,3;0;5,47;Да;Бюджетный;CC;82;Мужской;Женат;1;53582,6
4,32;0,63;66,91;Да;Бесплатный;CH;87;Мужской;Женат;0;98127,6
4,32;0,63;66,91;Да;Бесплатный;CH;87;Мужской;Женат;0;98127,6
4,32;0,63;66,91;Да;Бесплатный;CH;87;Мужской;Женат;0;98127,6
4,32;0;33;Да;Бюджетный;CC;22;Мужской;Женат;2;33149,2
4,32;0;33;Да;Бюджетный;CC;22;Мужской;Женат;2;33149,2
4,32;0;33;Да;Бюджетный;CC;22;Мужской;Женат;2;33149,2
4,43;0;16,35;Нет;Бюджетный;CC;29;Мужской;Женат;2;98734,7
4,43;0;16,35;Нет;Бюджетный;CC;29;Мужской;Женат;2;98734,7
4,43;0;16,35;Нет;Бюджетный;CC;29;Мужской;Женат;2;98734,7
4,45;7,27;296,63;Да;Бесплатный;CH;46;Женский;Женат;0;34437,2
4,45;7,27;296,63;Да;Бесплатный;CH;46;Женский;Женат;0;34437,2
4,45;7,27;296,63;Да;Бесплатный;CH;46;Женский;Женат;0;34437,2
4,47;0;32,91;Да;Бюджетный;Auto;83;Мужской;Женат;1;71000,5
4,47;0;32,91;Да;Бюджетный;Auto;83;Мужской;Женат;1;71000,5
4,47;0;32,91;Да;Бюджетный;Auto;83;Мужской;Женат;1;71000,5
4,51;0;16,36;Нет;Бюджетный;CC;83;Женский;Одинокий;1;78854,9
4,51;0;16,36;Нет;Бюджетный;CC;83;Женский;Одинокий;1;78854,9
4,51;0;16,36;Нет;Бюджетный;CC;83;Женский;Одинокий;1;78854,9
4,59;7,66;8,49;Нет;Бюджетный;CC;95;Мужской;Одинокий;0;38872,3
4,59;7,66;8,49;Нет;Бюджетный;CC;95;Мужской;Одинокий;0;38872,3
4,59;7,66;8,49;Нет;Бюджетный;CC;95;Мужской;Одинокий;0;38872,3
4,64;1,77;68,63;Нет;Бесплатный;CC;77;Женский;Женат;0;39516,3
4,64;1,77;68,63;Нет;Бесплатный;CC;77;Женский;Женат;0;39516,3
4,64;1,77;68,63;Нет;Бесплатный;CC;77;Женский;Женат;0;39516,3
4,68;0;5,72;Нет;Бюджетный;Auto;34;Женский;Женат;0;17703,5
4,68;0;5,72;Нет;Бюджетный;Auto;34;Женский;Женат;0;17703,5
4,68;0;5,72;Нет;Бюджетный;Auto;34;Женский;Женат;0;17703,5
4,72;0;57,77;Нет;Бесплатный;Auto;23;Женский;Одинокий;2;8383,47
4,72;0;57,77;Нет;Бесплатный;Auto;23;Женский;Одинокий;2;8383,47
4,72;0;57,77;Нет;Бесплатный;Auto;23;Женский;Одинокий;2;8383,47
4,73;0;81,01;Нет;Бесплатный;Auto;33;Женский;Одинокий;2;1144,36
4,73;0;81,01;Нет;Бесплатный;Auto;33;Женский;Одинокий;2;1144,36
4,73;0;81,01;Нет;Бесплатный;Auto;33;Женский;Одинокий;2;1144,36
4,73;0;27,19;Нет;Бюджетный;Auto;45;Мужской;Женат;2;39035,8
4,73;0;27,19;Нет;Бюджетный;Auto;45;Мужской;Женат;2;39035,8
4,73;0;27,19;Нет;Бюджетный;Auto;45;Мужской;Женат;2;39035,8
4,79;0;60,84;Да;Бюджетный;CH;54;Мужской;Женат;0;4755,27
4,79;0;60,84;Да;Бюджетный;CH;54;Мужской;Женат;0;4755,27
4,79;0;60,84;Да;Бюджетный;CH;54;Мужской;Женат;0;4755,27
4,79;0;39,76;Нет;Бесплатный;CH;79;Женский;Одинокий;0;77644,1
4,79;0;39,76;Нет;Бесплатный;CH;79;Женский;Одинокий;0;77644,1
4,79;0;39,76;Нет;Бесплатный;CH;79;Женский;Одинокий;0;77644,1
4,8;8;13,25;Нет;Бюджетный;CC;74;Мужской;Женат;1;60933,9
4,8;8;13,25;Нет;Бюджетный;CC;74;Мужской;Женат;1;60933,9
4,8;8;13,25;Нет;Бюджетный;CC;74;Мужской;Женат;1;60933,9
4,81;0;52,04;Да;Бесплатный;CC;91;Женский;Женат;2;8502,99
4,81;0;52,04;Да;Бесплатный;CC;91;Женский;Женат;2;8502,99
4,81;0;52,04;Да;Бесплатный;CC;91;Женский;Женат;2;8502,99
4,82;0;34,76;Нет;Бесплатный;Auto;38;Мужской;Женат;0;66742,3
4,82;0;34,76;Нет;Бесплатный;Auto;38;Мужской;Женат;0;66742,3
4,82;0;34,76;Нет;Бесплатный;Auto;38;Мужской;Женат;0;66742,3
4,83;0;56,65;Нет;Бюджетный;CC;28;Женский;Женат;0;38450,2
4,83;0;56,65;Нет;Бюджетный;CC;28;Женский;Женат;0;38450,2
4,83;0;56,65;Нет;Бюджетный;CC;28;Женский;Женат;0;38450,2
4,91;6,47;116,42;Да;Бюджетный;CC;23;Мужской;Одинокий;1;50290,7
4,91;6,47;116,42;Да;Бюджетный;CC;23;Мужской;Одинокий;1;50290,7
4,91;6,47;116,42;Да;Бюджетный;CC;23;Мужской;Одинокий;1;50290,7
4,96;0;30,9;Нет;Бесплатный;CH;83;Женский;Одинокий;1;96112,1
4,96;0;30,9;Нет;Бесплатный;CH;83;Женский;Одинокий;1;96112,1
4,96;0;30,9;Нет;Бесплатный;CH;83;Женский;Одинокий;1;96112,1
4,98;0;84,61;Нет;Бесплатный;CC;76;Мужской;Женат;2;23536
4,98;0;84,61;Нет;Бесплатный;CC;76;Мужской;Женат;2;23536
4,98;0;84,61;Нет;Бесплатный;CC;76;Мужской;Женат;2;23536
5;0,68;56,11;Да;Бюджетный;CC;19;Женский;Одинокий;0;50290,7
5;0,68;56,11;Да;Бюджетный;CC;19;Женский;Одинокий;0;50290,7
5;0,68;56,11;Да;Бюджетный;CC;19;Женский;Одинокий;0;50290,7
5,01;7,92;24,42;Да;Бюджетный;Auto;72;Мужской;Одинокий;0;22150,8
5,01;7,92;24,42;Да;Бюджетный;Auto;72;Мужской;Одинокий;0;22150,8
5,01;7,92;24,42;Да;Бюджетный;Auto;72;Мужской;Одинокий;0;22150,8
5,02;0;29,8;Нет;Бюджетный;CC;20;Мужской;Одинокий;2;9431,04
5,02;0;29,8;Нет;Бюджетный;CC;20;Мужской;Одинокий;2;9431,04
5,02;0;29,8;Нет;Бюджетный;CC;20;Мужской;Одинокий;2;9431,04
5,13;0;69,8;Нет;Бюджетный;CH;75;Женский;Женат;1;55187,6
5,13;0;69,8;Нет;Бюджетный;CH;75;Женский;Женат;1;55187,6
5,13;0;69,8;Нет;Бюджетный;CH;75;Женский;Женат;1;55187,6
5,14;0;44,81;Да;Бюджетный;CC;20;Женский;Женат;2;3628,78
5,14;0;44,81;Да;Бюджетный;CC;20;Женский;Женат;2;3628,78
5,14;0;44,81;Да;Бюджетный;CC;20;Женский;Женат;2;3628,78
5,17;0;11,14;Нет;Бесплатный;Auto;85;Женский;Женат;2;69730,9
5,17;0;11,14;Нет;Бесплатный;Auto;85;Женский;Женат;2;69730,9
5,17;0;11,14;Нет;Бесплатный;Auto;85;Женский;Женат;2;69730,9
5,18;5,64;112,81;Нет;Бесплатный;CH;34;Женский;Женат;1;73098,7
5,18;5,64;112,81;Нет;Бесплатный;CH;34;Женский;Женат;1;73098,7
5,18;5,64;112,81;Нет;Бесплатный;CH;34;Женский;Женат;1;73098,7
5,19;0;30;Нет;Бесплатный;CC;90;Женский;Женат;1;41416,8
5,19;0;30;Нет;Бесплатный;CC;90;Женский;Женат;1;41416,8
5,19;0;30;Нет;Бесплатный;CC;90;Женский;Женат;1;41416,8
5,2;0;51,57;Нет;Бесплатный;CC;90;Мужской;Женат;0;42248,7
5,2;0;51,57;Нет;Бесплатный;CC;90;Мужской;Женат;0;42248,7
5,2;0;51,57;Нет;Бесплатный;CC;90;Мужской;Женат;0;42248,7
5,22;0;66,82;Нет;Бесплатный;CC;53;Мужской;Женат;0;42370,2
5,22;0;66,82;Нет;Бесплатный;CC;53;Мужской;Женат;0;42370,2
5,22;0;66,82;Нет;Бесплатный;CC;53;Мужской;Женат;0;42370,2
5,23;0;28,4;Нет;Бюджетный;CC;62;Мужской;Женат;1;57974,8
5,23;0;28,4;Нет;Бюджетный;CC;62;Мужской;Женат;1;57974,8
5,23;0;28,4;Нет;Бюджетный;CC;62;Мужской;Женат;1;57974,8
5,25;7,52;86,33;Нет;Бесплатный;CH;57;Женский;Женат;2;27535,3
5,25;7,52;86,33;Нет;Бесплатный;CH;57;Женский;Женат;2;27535,3
5,25;7,52;86,33;Нет;Бесплатный;CH;57;Женский;Женат;2;27535,3
5,26;0;32,05;Нет;Бюджетный;CC;19;Мужской;Женат;0;58979,3
5,26;0;32,05;Нет;Бюджетный;CC;19;Мужской;Женат;0;58979,3
