age;gender;inccat;ed;marital;savings
32;Мужской;25 - 49;Среднее специальное;Женат (замужем);12,2
25;Мужской;25 - 49;Среднее;Не женат (не замужем);13,4
47;Мужской;25 - 49;Среднее специальное;Не женат (не замужем);13,7
41;Мужской;25 - 49;Незаконченное высшее;Не женат (не замужем);23,9
66;Мужской;25 - 49;Среднее;Не женат (не замужем);14,3
47;Мужской;50 - 74;Среднее специальное;Женат (замужем);31,2
42;Женский;25 - 49;Неполное среднее;Не женат (не замужем);24,5
35;Женский;25 - 49;Незаконченное высшее;Женат (замужем);24,3
32;Мужской;50 - 74;Высшее, ученая степень;Женат (замужем);29,8
44;Мужской;25 - 49;Неполное среднее;Женат (замужем);23,2
32;Мужской;25 - 49;Незаконченное высшее;Не женат (не замужем);15,4
65;Женский;25 - 49;Неполное среднее;Не женат (не замужем);20,9
47;Женский;75+;Среднее;Женат (замужем);90,4
29;Мужской;18 - 24;Незаконченное высшее;Не женат (не замужем);10,9
36;Мужской;25 - 49;Среднее;Не женат (не замужем);20,2
34;Женский;18 - 24;Среднее;Не женат (не замужем);11,4
26;Мужской;25 - 49;Среднее;Не женат (не замужем);20,9
46;Женский;75+;Среднее;Не женат (не замужем);40,5
40;Женский;25 - 49;Незаконченное высшее;Не женат (не замужем);18,9
59;Мужской;25 - 49;Среднее специальное;Не женат (не замужем);14,5
31;Женский;25 - 49;Среднее;Женат (замужем);15,1
38;Женский;25 - 49;Незаконченное высшее;Не женат (не замужем);15,2
20;Мужской;18 - 24;Среднее;Женат (замужем);9,6
29;Женский;50 - 74;Незаконченное высшее;Женат (замужем);37,3
36;Мужской;25 - 49;Незаконченное высшее;Не женат (не замужем);20,4
61;Мужской;75+;Среднее;Не женат (не замужем);73,4
28;Мужской;25 - 49;Незаконченное высшее;Женат (замужем);14,4
35;Мужской;50 - 74;Неполное среднее;Женат (замужем);25,4
55;Мужской;75+;Незаконченное высшее;Женат (замужем);67,7
47;Женский;75+;Незаконченное высшее;Не женат (не замужем);60,4
29;Мужской;50 - 74;Среднее;Не женат (не замужем);34,2
36;Мужской;25 - 49;Среднее специальное;Не женат (не замужем);15,6
38;Мужской;50 - 74;Среднее специальное;Женат (замужем);25,9
38;Женский;50 - 74;Среднее специальное;Женат (замужем);25
38;Мужской;25 - 49;Среднее;Не женат (не замужем);20,5
34;Мужской;50 - 74;Высшее, ученая степень;Женат (замужем);31
29;Женский;25 - 49;Неполное среднее;Не женат (не замужем);15,4
64;Мужской;18 - 24;Незаконченное высшее;Не женат (не замужем);8,1
35;Мужской;25 - 49;Среднее специальное;Не женат (не замужем);18,6
58;Мужской;18 - 24;Среднее;Женат (замужем);9,6
22;Женский;25 - 49;Среднее специальное;Женат (замужем);12,1
44;Женский;75+;Среднее;Не женат (не замужем);51
48;Женский;75+;Незаконченное высшее;Не женат (не замужем);74,6
45;Женский;75+;Неполное среднее;Не женат (не замужем);67,6
26;Мужской;50 - 74;Среднее;Женат (замужем);25,3
54;Мужской;75+;Среднее;Женат (замужем);70,7
32;Мужской;25 - 49;Неполное среднее;Женат (замужем);22,1
22;Мужской;25 - 49;Среднее;Женат (замужем);16,2
28;Женский;18 - 24;Высшее, ученая степень;Женат (замужем);7,5
42;Женский;50 - 74;Среднее;Женат (замужем);34,1
47;Мужской;75+;Незаконченное высшее;Не женат (не замужем);69,2
50;Женский;18 - 24;Неполное среднее;Не женат (не замужем);11,7
52;Женский;25 - 49;Среднее специальное;Женат (замужем);16,9
33;Женский;25 - 49;Неполное среднее;Женат (замужем);13,1
48;Мужской;75+;Среднее;Не женат (не замужем);41,1
47;Мужской;50 - 74;Неполное среднее;Женат (замужем);32,5
29;Мужской;18 - 24;Незаконченное высшее;Не женат (не замужем);10,5
29;Женский;25 - 49;Среднее специальное;Женат (замужем);19,8
28;Мужской;25 - 49;Неполное среднее;Не женат (не замужем);12,6
47;Женский;50 - 74;Среднее специальное;Женат (замужем);27,2
24;Мужской;18 - 24;Среднее специальное;Не женат (не замужем);9,6
42;Женский;75+;Среднее специальное;Не женат (не замужем);69,9
36;Мужской;75+;Незаконченное высшее;Не женат (не замужем);67,5
42;Женский;75+;Среднее специальное;Не женат (не замужем);70,5
51;Мужской;50 - 74;Среднее специальное;Женат (замужем);36,7
39;Мужской;50 - 74;Среднее специальное;Женат (замужем);30,7
55;Женский;75+;Высшее, ученая степень;Не женат (не замужем);70,9
58;Мужской;75+;Неполное среднее;Женат (замужем);49,1
64;Женский;18 - 24;Неполное среднее;Не женат (не замужем);4,9
45;Женский;75+;Среднее специальное;Женат (замужем);76,1
31;Мужской;25 - 49;Среднее;Не женат (не замужем);12,6
20;Женский;18 - 24;Среднее специальное;Не женат (не замужем);10,6
40;Женский;25 - 49;Среднее специальное;Женат (замужем);17,3
38;Мужской;25 - 49;Среднее;Женат (замужем);19,3
35;Мужской;25 - 49;Среднее;Женат (замужем);20,2
66;Мужской;25 - 49;Неполное среднее;Не женат (не замужем);23,7
34;Женский;75+;Незаконченное высшее;Женат (замужем);51
34;Мужской;25 - 49;Неполное среднее;Женат (замужем);18,4
63;Женский;75+;Неполное среднее;Не женат (не замужем);72,2
30;Женский;50 - 74;Незаконченное высшее;Женат (замужем);24,1
58;Женский;75+;Неполное среднее;Женат (замужем);68,5
36;Женский;25 - 49;Среднее;Не женат (не замужем);18,7
53;Женский;75+;Среднее специальное;Женат (замужем);75
43;Женский;75+;Незаконченное высшее;Не женат (не замужем);43,2
37;Женский;75+;Незаконченное высшее;Женат (замужем);43,3
43;Женский;50 - 74;Среднее специальное;Женат (замужем);33,7
40;Мужской;75+;Среднее;Не женат (не замужем);47,8
60;Мужской;25 - 49;Неполное среднее;Не женат (не замужем);21,4
46;Женский;25 - 49;Среднее;Не женат (не замужем);18
43;Мужской;50 - 74;Незаконченное высшее;Не женат (не замужем);28,4
40;Мужской;25 - 49;Высшее, ученая степень;Женат (замужем);16,7
44;Женский;25 - 49;Высшее, ученая степень;Женат (замужем);20
28;Мужской;25 - 49;Среднее;Женат (замужем);21,5
47;Мужской;50 - 74;Незаконченное высшее;Женат (замужем);31,9
51;Мужской;25 - 49;Среднее;Женат (замужем);16,3
39;Мужской;18 - 24;Неполное среднее;Женат (замужем);11,8
28;Мужской;25 - 49;Среднее;Не женат (не замужем);20,8
42;Женский;50 - 74;Высшее, ученая степень;Женат (замужем);28,9
44;Женский;25 - 49;Неполное среднее;Женат (замужем);19,3
41;Женский;25 - 49;Среднее специальное;Женат (замужем);20
40;Мужской;25 - 49;Неполное среднее;Женат (замужем);16,5
39;Женский;50 - 74;Среднее;Женат (замужем);26,7
45;Женский;75+;Среднее специальное;Женат (замужем);70,7
48;Женский;50 - 74;Незаконченное высшее;Женат (замужем);27,8
71;Женский;50 - 74;Неполное среднее;Не женат (не замужем);34,8
31;Мужской;25 - 49;Среднее;Не женат (не замужем);17,2
51;Женский;75+;Среднее;Не женат (не замужем);62,6
46;Женский;25 - 49;Среднее специальное;Не женат (не замужем);15,9
50;Мужской;50 - 74;Среднее специальное;Не женат (не замужем);33,9
60;Женский;75+;Среднее;Женат (замужем);49,8
21;Мужской;18 - 24;Среднее;Не женат (не замужем);7
36;Мужской;25 - 49;Высшее, ученая степень;Женат (замужем);21,9
48;Мужской;75+;Незаконченное высшее;Женат (замужем);60,9
49;Женский;75+;Высшее, ученая степень;Не женат (не замужем);51,6
47;Мужской;75+;Незаконченное высшее;Женат (замужем);53,6
27;Женский;25 - 49;Среднее;Не женат (не замужем);12,9
34;Женский;18 - 24;Среднее;Женат (замужем);11,9
29;Женский;25 - 49;Высшее, ученая степень;Не женат (не замужем);13,5
42;Мужской;25 - 49;Неполное среднее;Не женат (не замужем);13,1
33;Мужской;18 - 24;Неполное среднее;Женат (замужем);11,9
30;Мужской;25 - 49;Среднее специальное;Женат (замужем);16
29;Мужской;18 - 24;Среднее специальное;Не женат (не замужем);8,1
34;Мужской;75+;Незаконченное высшее;Женат (замужем);56,9
34;Мужской;25 - 49;Среднее;Женат (замужем);14,9
31;Женский;50 - 74;Незаконченное высшее;Не женат (не замужем);29,3
34;Женский;50 - 74;Неполное среднее;Не женат (не замужем);35,3
28;Женский;50 - 74;Высшее, ученая степень;Не женат (не замужем);37,4
38;Мужской;75+;Среднее специальное;Женат (замужем);39
31;Мужской;25 - 49;Среднее специальное;Не женат (не замужем);13,9
37;Мужской;50 - 74;Среднее;Не женат (не замужем);29,4
41;Женский;25 - 49;Среднее специальное;Не женат (не замужем);13,6
57;Мужской;75+;Неполное среднее;Не женат (не замужем);72
53;Мужской;75+;Среднее;Женат (замужем);39,5
38;Женский;50 - 74;Среднее;Не женат (не замужем);27,1
35;Женский;18 - 24;Высшее, ученая степень;Женат (замужем);9,3
45;Женский;50 - 74;Среднее;Не женат (не замужем);30,8
36;Женский;25 - 49;Неполное среднее;Не женат (не замужем);24,3
50;Женский;50 - 74;Незаконченное высшее;Не женат (не замужем);30,7
37;Мужской;50 - 74;Среднее;Не женат (не замужем);28
61;Женский;18 - 24;Среднее специальное;Не женат (не замужем);11,7
49;Мужской;25 - 49;Неполное среднее;Не женат (не замужем);20
43;Мужской;75+;Среднее;Женат (замужем);46,5
26;Женский;25 - 49;Неполное среднее;Не женат (не замужем);15,7
44;Мужской;25 - 49;Неполное среднее;Женат (замужем);19,5
27;Мужской;75+;Незаконченное высшее;Не женат (не замужем);49,2
53;Женский;75+;Незаконченное высшее;Не женат (не замужем);79,4
41;Женский;50 - 74;Незаконченное высшее;Не женат (не замужем);34,6
63;Мужской;75+;Среднее;Не женат (не замужем);58,1
29;Мужской;25 - 49;Неполное среднее;Женат (замужем);19,8
39;Женский;75+;Среднее;Не женат (не замужем);39,8
39;Женский;25 - 49;Среднее специальное;Женат (замужем);13,1
36;Мужской;75+;Незаконченное высшее;Не женат (не замужем);43,8
28;Мужской;50 - 74;Неполное среднее;Женат (замужем);34,2
54;Мужской;75+;Неполное среднее;Не женат (не замужем);65,6
36;Женский;75+;Среднее;Женат (замужем);39,1
41;Мужской;25 - 49;Неполное среднее;Не женат (не замужем);21,5
39;Женский;75+;Незаконченное высшее;Женат (замужем);46,4
53;Мужской;75+;Незаконченное высшее;Женат (замужем);54,6
60;Мужской;18 - 24;Среднее специальное;Женат (замужем);4,4
50;Женский;18 - 24;Неполное среднее;Женат (замужем);12,4
62;Мужской;50 - 74;Среднее;Женат (замужем);23,6
65;Женский;75+;Неполное среднее;Женат (замужем);77,1
32;Женский;25 - 49;Незаконченное высшее;Женат (замужем);20,5
20;Женский;18 - 24;Среднее;Женат (замужем);9,5
29;Мужской;25 - 49;Среднее;Женат (замужем);22,2
48;Мужской;25 - 49;Среднее;Женат (замужем);13,1
42;Мужской;50 - 74;Высшее, ученая степень;Женат (замужем);30,3
53;Мужской;75+;Неполное среднее;Женат (замужем);58,5
31;Женский;75+;Среднее специальное;Женат (замужем);47
43;Мужской;50 - 74;Неполное среднее;Не женат (не замужем);33,2
19;Женский;18 - 24;Среднее;Женат (замужем);10,3
63;Мужской;50 - 74;Неполное среднее;Женат (замужем);34,4
59;Женский;50 - 74;Неполное среднее;Женат (замужем);29,3
44;Мужской;25 - 49;Среднее специальное;Женат (замужем);23,2
53;Женский;75+;Неполное среднее;Не женат (не замужем);64,7
56;Мужской;75+;Неполное среднее;Женат (замужем);42,5
31;Мужской;25 - 49;Неполное среднее;Женат (замужем);20,6
25;Женский;18 - 24;Неполное среднее;Женат (замужем);11,2
44;Мужской;75+;Незаконченное высшее;Женат (замужем);70,3
49;Женский;25 - 49;Незаконченное высшее;Женат (замужем);18,7
21;Мужской;25 - 49;Среднее специальное;Не женат (не замужем);13,6
63;Женский;18 - 24;Среднее;Не женат (не замужем);5,4
33;Женский;25 - 49;Неполное среднее;Не женат (не замужем);17,3
61;Мужской;18 - 24;Неполное среднее;Не женат (не замужем);11,8
46;Женский;25 - 49;Неполное среднее;Не женат (не замужем);23,9
23;Женский;18 - 24;Неполное среднее;Не женат (не замужем);9,3
47;Женский;50 - 74;Среднее;Не женат (не замужем);29,5
64;Женский;18 - 24;Незаконченное высшее;Не женат (не замужем);5,6
53;Мужской;75+;Среднее;Женат (замужем);76,3
32;Женский;18 - 24;Среднее;Женат (замужем);9
31;Мужской;25 - 49;Высшее, ученая степень;Женат (замужем);12,4
34;Женский;25 - 49;Неполное среднее;Женат (замужем);15,8
26;Женский;18 - 24;Неполное среднее;Женат (замужем);11,7
58;Женский;75+;Среднее специальное;Женат (замужем);78,6
59;Мужской;75+;Неполное среднее;Женат (замужем);70
21;Мужской;18 - 24;Среднее специальное;Женат (замужем);9,6
43;Мужской;25 - 49;Среднее;Женат (замужем);17,1
41;Женский;18 - 24;Неполное среднее;Женат (замужем);11,9
52;Мужской;25 - 49;Среднее;Не женат (не замужем);13,2
25;Мужской;25 - 49;Среднее;Женат (замужем);12,8
32;Мужской;50 - 74;Среднее;Не женат (не замужем);29,2
60;Мужской;75+;Неполное среднее;Женат (замужем);79,3
54;Женский;25 - 49;Высшее, ученая степень;Не женат (не замужем);15,2
35;Мужской;25 - 49;Среднее;Не женат (не замужем);12,8
46;Мужской;50 - 74;Неполное среднее;Женат (замужем);28,7
25;Мужской;25 - 49;Среднее;Женат (замужем);15,4
34;Мужской;18 - 24;Среднее;Женат (замужем);12,3
24;Женский;25 - 49;Незаконченное высшее;Женат (замужем);13,5
34;Мужской;25 - 49;Среднее специальное;Женат (замужем);17,6
36;Женский;25 - 49;Среднее специальное;Женат (замужем);14,5
33;Женский;18 - 24;Среднее;Женат (замужем);11,3
34;Женский;25 - 49;Высшее, ученая степень;Женат (замужем);14,5
57;Женский;75+;Среднее специальное;Не женат (не замужем);83,6
46;Женский;25 - 49;Незаконченное высшее;Не женат (не замужем);17,6
28;Женский;25 - 49;Высшее, ученая степень;Женат (замужем);11,9
40;Женский;25 - 49;Среднее специальное;Не женат (не замужем);17,9
57;Женский;75+;Высшее, ученая степень;Не женат (не замужем);72,8
38;Женский;25 - 49;Незаконченное высшее;Женат (замужем);16,8
37;Мужской;25 - 49;Среднее;Не женат (не замужем);19,8
26;Мужской;18 - 24;Неполное среднее;Не женат (не замужем);10,7
31;Женский;25 - 49;Высшее, ученая степень;Женат (замужем);13
50;Мужской;25 - 49;Неполное среднее;Не женат (не замужем);17,4
62;Мужской;75+;Среднее специальное;Женат (замужем);46,8
51;Мужской;25 - 49;Среднее;Женат (замужем);18,3
37;Женский;75+;Среднее специальное;Женат (замужем);43,1
32;Мужской;25 - 49;Среднее специальное;Женат (замужем);15,1
57;Мужской;18 - 24;Неполное среднее;Женат (замужем);9,5
26;Женский;18 - 24;Неполное среднее;Не женат (не замужем);7,9
29;Женский;75+;Незаконченное высшее;Женат (замужем);46,9
21;Мужской;18 - 24;Неполное среднее;Женат (замужем);7
39;Женский;25 - 49;Среднее;Не женат (не замужем);14,1
43;Мужской;18 - 24;Среднее;Женат (замужем);11,1
35;Женский;18 - 24;Неполное среднее;Женат (замужем);10,1
54;Мужской;75+;Среднее специальное;Женат (замужем);76,9
48;Мужской;75+;Незаконченное высшее;Женат (замужем);86,2
62;Мужской;25 - 49;Неполное среднее;Не женат (не замужем);17,4
39;Мужской;25 - 49;Неполное среднее;Не женат (не замужем);24,7
42;Женский;18 - 24;Неполное среднее;Женат (замужем);11,2
35;Женский;25 - 49;Среднее;Не женат (не замужем);17,2
48;Мужской;75+;Среднее;Женат (замужем);69,5
28;Мужской;25 - 49;Неполное среднее;Не женат (не замужем);15,5
26;Женский;18 - 24;Незаконченное высшее;Женат (замужем);8,5
62;Мужской;75+;Среднее специальное;Женат (замужем);41,2
49;Мужской;18 - 24;Неполное среднее;Женат (замужем);10,7
34;Женский;75+;Среднее;Женат (замужем);52,6
52;Женский;75+;Среднее специальное;Женат (замужем);91,5
52;Мужской;18 - 24;Среднее;Не женат (не замужем);11,2
56;Мужской;75+;Среднее специальное;Не женат (не замужем);63,8
48;Женский;75+;Среднее;Женат (замужем);46,2
38;Мужской;18 - 24;Среднее;Не женат (не замужем);10,8
60;Мужской;25 - 49;Среднее специальное;Не женат (не замужем);16,7
30;Мужской;25 - 49;Среднее;Женат (замужем);17
41;Женский;50 - 74;Неполное среднее;Не женат (не замужем);33,1
27;Женский;25 - 49;Среднее;Женат (замужем);16,5
25;Женский;25 - 49;Среднее специальное;Женат (замужем);12,4
30;Мужской;18 - 24;Среднее;Женат (замужем);10,6
50;Мужской;75+;Незаконченное высшее;Женат (замужем);77,8
44;Мужской;75+;Среднее;Не женат (не замужем);65,2
38;Мужской;25 - 49;Неполное среднее;Не женат (не замужем);14,7
44;Женский;25 - 49;Среднее;Не женат (не замужем);16,3
30;Женский;25 - 49;Незаконченное высшее;Женат (замужем);12,6
26;Мужской;25 - 49;Среднее;Женат (замужем);14
39;Женский;25 - 49;Высшее, ученая степень;Женат (замужем);17
39;Мужской;25 - 49;Среднее;Женат (замужем);22,6
60;Женский;50 - 74;Высшее, ученая степень;Не женат (не замужем);30,9
42;Женский;75+;Неполное среднее;Женат (замужем);39,5
42;Мужской;50 - 74;Среднее;Не женат (не замужем);27,8
49;Мужской;75+;Незаконченное высшее;Женат (замужем);46,3
26;Женский;18 - 24;Среднее специальное;Не женат (не замужем);10,8
54;Мужской;75+;Высшее, ученая степень;Не женат (не замужем);69,1
31;Женский;25 - 49;Среднее специальное;Не женат (не замужем);22,8
66;Мужской;50 - 74;Среднее;Женат (замужем);25,8
38;Мужской;25 - 49;Неполное среднее;Не женат (не замужем);19,9
47;Женский;18 - 24;Среднее специальное;Женат (замужем);10,8
43;Мужской;25 - 49;Среднее;Не женат (не замужем);17,4
24;Мужской;18 - 24;Среднее;Женат (замужем);7,4
65;Мужской;75+;Среднее;Женат (замужем);41,5
36;Женский;18 - 24;Незаконченное высшее;Не женат (не замужем);9
35;Мужской;25 - 49;Незаконченное высшее;Женат (замужем);15,4
65;Женский;50 - 74;Неполное среднее;Не женат (не замужем);34,7
28;Женский;25 - 49;Среднее;Не женат (не замужем);17,5
47;Женский;75+;Высшее, ученая степень;Не женат (не замужем);83,6
49;Женский;25 - 49;Незаконченное высшее;Женат (замужем);21
54;Мужской;25 - 49;Среднее;Женат (замужем);21,9
26;Мужской;50 - 74;Высшее, ученая степень;Не женат (не замужем);31,9
38;Женский;75+;Среднее специальное;Не женат (не замужем);63,2
29;Мужской;25 - 49;Среднее специальное;Не женат (не замужем);23,6
30;Женский;18 - 24;Среднее;Женат (замужем);9,9
30;Женский;25 - 49;Высшее, ученая степень;Женат (замужем);16,6
58;Женский;25 - 49;Среднее;Не женат (не замужем);16,2
53;Мужской;75+;Среднее специальное;Не женат (не замужем);51,9
31;Женский;25 - 49;Незаконченное высшее;Женат (замужем);24
31;Мужской;25 - 49;Высшее, ученая степень;Не женат (не замужем);16,4
24;Женский;18 - 24;Среднее;Не женат (не замужем);10,8
50;Мужской;75+;Среднее;Женат (замужем);74,4
41;Женский;75+;Высшее, ученая степень;Женат (замужем);58,9
45;Мужской;50 - 74;Среднее;Женат (замужем);31,2
25;Женский;18 - 24;Неполное среднее;Женат (замужем);10
34;Мужской;25 - 49;Среднее;Женат (замужем);16,9
35;Мужской;25 - 49;Незаконченное высшее;Женат (замужем);24,2
42;Мужской;25 - 49;Неполное среднее;Не женат (не замужем);23,6
33;Женский;25 - 49;Среднее;Не женат (не замужем);16,1
34;Мужской;18 - 24;Среднее специальное;Не женат (не замужем);11,3
61;Женский;18 - 24;Среднее;Женат (замужем);11,6
59;Мужской;25 - 49;Среднее специальное;Не женат (не замужем);22,7
36;Мужской;25 - 49;Среднее;Не женат (не замужем);16,6
55;Мужской;75+;Среднее;Не женат (не замужем);98,8
41;Женский;25 - 49;Среднее специальное;Женат (замужем);14,1
55;Мужской;75+;Незаконченное высшее;Не женат (не замужем);56,4
51;Женский;75+;Среднее;Не женат (не замужем);53,1
27;Мужской;50 - 74;Незаконченное высшее;Женат (замужем);33,2
58;Мужской;25 - 49;Среднее;Женат (замужем);20,5
29;Женский;50 - 74;Высшее, ученая степень;Не женат (не замужем);29
47;Мужской;25 - 49;Среднее специальное;Не женат (не замужем);17,6
54;Мужской;50 - 74;Незаконченное высшее;Женат (замужем);32
42;Мужской;50 - 74;Среднее;Женат (замужем);31,7
38;Женский;50 - 74;Среднее;Женат (замужем);34,1
65;Женский;75+;Неполное среднее;Женат (замужем);38,8
29;Мужской;25 - 49;Среднее;Не женат (не замужем);25
30;Женский;18 - 24;Среднее специальное;Женат (замужем);11,3
41;Мужской;50 - 74;Среднее специальное;Женат (замужем);30,8
52;Женский;75+;Среднее;Женат (замужем);68,9
59;Женский;25 - 49;Неполное среднее;Не женат (не замужем);15,4
29;Мужской;18 - 24;Среднее;Не женат (не замужем);11,7
50;Мужской;25 - 49;Неполное среднее;Не женат (не замужем);15,6
36;Женский;75+;Незаконченное высшее;Не женат (не замужем);98,2
50;Мужской;25 - 49;Среднее;Женат (замужем);22,6
52;Мужской;75+;Среднее специальное;Не женат (не замужем);47,2
44;Мужской;75+;Среднее специальное;Не женат (не замужем);61
35;Женский;25 - 49;Незаконченное высшее;Женат (замужем);24
46;Женский;75+;Среднее;Женат (замужем);95,5
42;Мужской;25 - 49;Среднее;Не женат (не замужем);14,1
24;Женский;18 - 24;Среднее;Не женат (не замужем);10,6
36;Женский;18 - 24;Неполное среднее;Не женат (не замужем);11,2
39;Мужской;50 - 74;Среднее специальное;Женат (замужем);27,9
46;Мужской;50 - 74;Неполное среднее;Женат (замужем);32,1
49;Женский;18 - 24;Незаконченное высшее;Женат (замужем);12
25;Мужской;25 - 49;Среднее;Не женат (не замужем);14,4
29;Женский;25 - 49;Неполное среднее;Женат (замужем);14,7
49;Мужской;25 - 49;Среднее;Женат (замужем);14,7
47;Женский;25 - 49;Неполное среднее;Женат (замужем);18,6
53;Мужской;75+;Среднее специальное;Не женат (не замужем);63,6
38;Мужской;25 - 49;Среднее;Не женат (не замужем);24,6
24;Мужской;75+;Незаконченное высшее;Женат (замужем);38,5
25;Мужской;25 - 49;Неполное среднее;Не женат (не замужем);15,8
26;Женский;25 - 49;Неполное среднее;Женат (замужем);12,9
36;Мужской;25 - 49;Незаконченное высшее;Женат (замужем);20,6
42;Женский;50 - 74;Среднее;Женат (замужем);33,2
48;Женский;25 - 49;Среднее специальное;Женат (замужем);23,1
29;Женский;75+;Среднее специальное;Женат (замужем);67,6
58;Женский;50 - 74;Среднее специальное;Женат (замужем);36,8
57;Женский;75+;Незаконченное высшее;Не женат (не замужем);40,4
31;Мужской;50 - 74;Среднее;Женат (замужем);34,1
38;Мужской;75+;Незаконченное высшее;Женат (замужем);38,4
30;Мужской;25 - 49;Среднее специальное;Не женат (не замужем);18,8
44;Женский;25 - 49;Неполное среднее;Женат (замужем);21,6
34;Мужской;50 - 74;Незаконченное высшее;Женат (замужем);32
39;Женский;50 - 74;Высшее, ученая степень;Не женат (не замужем);27,1
48;Женский;75+;Неполное среднее;Не женат (не замужем);45,1
41;Мужской;75+;Незаконченное высшее;Женат (замужем);44,7
29;Мужской;25 - 49;Среднее;Не женат (не замужем);15,2
48;Мужской;25 - 49;Среднее;Женат (замужем);20,8
22;Женский;18 - 24;Среднее;Не женат (не замужем);7,9
26;Мужской;50 - 74;Высшее, ученая степень;Женат (замужем);37,3
53;Женский;75+;Неполное среднее;Женат (замужем);37,7
28;Мужской;18 - 24;Среднее;Не женат (не замужем);11,7
36;Мужской;75+;Среднее специальное;Не женат (не замужем);47,8
77;Мужской;25 - 49;Незаконченное высшее;Женат (замужем);22,2
59;Мужской;18 - 24;Неполное среднее;Не женат (не замужем);5,1
47;Мужской;75+;Высшее, ученая степень;Не женат (не замужем);81,3
35;Мужской;50 - 74;Незаконченное высшее;Женат (замужем);31,5
35;Мужской;25 - 49;Среднее специальное;Женат (замужем);14,4
47;Женский;50 - 74;Среднее;Не женат (не замужем);28,7
51;Женский;25 - 49;Неполное среднее;Женат (замужем);24,4
32;Женский;50 - 74;Незаконченное высшее;Женат (замужем);31,5
36;Женский;18 - 24;Незаконченное высшее;Женат (замужем);9,8
62;Мужской;75+;Неполное среднее;Не женат (не замужем);79,6
42;Женский;50 - 74;Среднее;Женат (замужем);31,2
31;Женский;25 - 49;Неполное среднее;Женат (замужем);24,6
38;Мужской;75+;Среднее специальное;Не женат (не замужем);44,6
42;Женский;25 - 49;Неполное среднее;Не женат (не замужем);14,5
42;Женский;18 - 24;Среднее;Не женат (не замужем);9,4
41;Мужской;25 - 49;Неполное среднее;Женат (замужем);15,7
55;Мужской;75+;Незаконченное высшее;Женат (замужем);81,5
60;Женский;75+;Незаконченное высшее;Не женат (не замужем);59,5
53;Женский;50 - 74;Среднее;Не женат (не замужем);30,2
45;Женский;25 - 49;Среднее;Женат (замужем);19,8
27;Мужской;25 - 49;Среднее;Не женат (не замужем);16,7
