Customer,State,Customer Lifetime Value,Response,Coverage,Education,Effective To Date,EmploymentStatus,Gender,Income,Location Code,Marital Status,Monthly Premium Auto,Months Since Last Claim,Months Since Policy Inception,Number of Open Complaints,Number of Policies,Policy Type,Sales Channel
YQ74870,Washington,7556.24034,No,Extended,High School or Below,02.12.2011,Employed,M,35257,Suburban,Divorced,98,16,2,1,8,Corporate Auto,Web
MQ14219,Arizona,8492.6988,No,Basic,College,26.02.2011,Employed,M,27804,Suburban,Married,109,19,54,0,7,Personal Auto,Branch
KN20603,Oregon,7713.494046,No,Basic,Bachelor,20.02.2011,Employed,M,45506,Suburban,Single,66,16,32,2,2,Personal Auto,Agent
CR48975,Washington,24084.5352,No,Basic,High School or Below,02.02.2011,Employed,M,65196,Suburban,Married,67,0,54,0,2,Personal Auto,Branch
JI70886,California,7290.069769,No,Basic,High School or Below,15.02.2011,Unemployed,M,0,Suburban,Married,102,11,70,1,3,Corporate Auto,Agent
VF72557,Oregon,4772.943848,No,Extended,High School or Below,18.02.2011,Retired,M,20993,Suburban,Divorced,133,35,90,0,1,Personal Auto,Agent
OX28638,Arizona,6806.491395,No,Extended,High School or Below,21.01.2011,Employed,M,37839,Suburban,Married,86,35,77,0,9,Personal Auto,Branch
SK55033,California,2469.781334,No,Basic,Bachelor,15.01.2011,Employed,F,92711,Suburban,Single,62,24,10,0,1,Personal Auto,Agent
OO88645,California,3103.923041,No,Extended,College,02.05.2011,Employed,F,74665,Urban,Married,78,10,90,2,1,Corporate Auto,Call Center
YT36855,Washington,2981.875575,No,Extended,College,24.02.2011,Unemployed,M,0,Suburban,Married,83,26,89,0,1,Personal Auto,Web
CW82151,California,8902.737595,No,Basic,Bachelor,01.05.2011,Employed,M,46833,Rural,Married,112,6,3,0,9,Personal Auto,Call Center
DY22043,Oregon,5499.447223,No,Basic,High School or Below,28.01.2011,Employed,F,88768,Suburban,Married,68,17,77,0,7,Personal Auto,Branch
SH36774,California,15023.59858,No,Basic,High School or Below,01.12.2011,Employed,M,28262,Suburban,Single,192,9,77,0,3,Personal Auto,Web
EM43724,Nevada,2509.107875,No,Basic,Bachelor,16.02.2011,Employed,F,33555,Rural,Married,63,17,11,0,1,Personal Auto,Agent
FH85960,Oregon,31221.7481,No,Premium,College,01.03.2011,Employed,M,42780,Suburban,Divorced,113,10,27,1,2,Personal Auto,Call Center
XA55993,Oregon,3133.503432,No,Extended,Master,02.07.2011,Employed,F,58850,Rural,Single,78,20,26,0,1,Personal Auto,Branch
GO36627,Arizona,3837.451863,No,Extended,College,13.01.2011,Employed,M,21880,Urban,Married,97,29,37,0,1,Special Auto,Branch
QH48047,Oregon,11790.49617,No,Basic,College,01.03.2011,Retired,M,25251,Suburban,Divorced,66,13,43,0,2,Personal Auto,Web
RB50392,Washington,7838.068321,No,Basic,Master,17.02.2011,Unemployed,F,0,Rural,Married,69,9,12,0,2,Personal Auto,Agent
UH65059,Arizona,4305.808345,No,Basic,High School or Below,21.01.2011,Employed,M,24188,Suburban,Married,109,14,82,0,1,Personal Auto,Agent
FV21968,Nevada,5973.976904,No,Basic,Bachelor,26.01.2011,Employed,F,41611,Rural,Married,74,14,8,0,8,Special Auto,Branch
QA87025,Oregon,5670.442396,No,Basic,Bachelor,31.01.2011,Employed,F,28406,Urban,Married,72,16,35,1,4,Personal Auto,Call Center
TQ13499,Arizona,4731.749346,No,Premium,College,01.02.2011,Employed,M,69833,Suburban,Married,118,32,99,0,1,Personal Auto,Agent
BU44523,Arizona,8026.379641,No,Basic,High School or Below,02.07.2011,Unemployed,F,0,Suburban,Single,74,15,91,0,2,Corporate Auto,Web
MS41162,Arizona,4022.963529,No,Basic,High School or Below,26.01.2011,Unemployed,M,0,Suburban,Single,117,6,1,0,1,Personal Auto,Agent
PU25891,Oregon,9618.310865,No,Basic,High School or Below,01.11.2011,Employed,F,80536,Rural,Married,119,5,83,0,3,Special Auto,Branch
RB81636,Washington,2274.775451,No,Basic,College,15.01.2011,Unemployed,F,0,Suburban,Single,63,2,5,0,1,Personal Auto,Agent
SX26335,Oregon,9552.926922,No,Extended,College,02.08.2011,Employed,F,97732,Urban,Married,79,0,70,0,2,Personal Auto,Branch
AZ95587,Arizona,10388.55323,No,Extended,Bachelor,01.11.2011,Employed,F,61222,Urban,Single,89,20,55,0,2,Special Auto,Branch
DS81757,Oregon,2470.121222,No,Basic,College,01.09.2011,Unemployed,M,0,Suburban,Single,74,7,20,0,1,Personal Auto,Web
OJ94107,Arizona,5619.068508,No,Premium,Master,02.04.2011,Employed,M,50335,Urban,Married,140,9,54,0,1,Personal Auto,Call Center
LP84436,California,9047.119209,No,Extended,High School or Below,21.01.2011,Unemployed,F,0,Suburban,Single,127,30,11,0,6,Personal Auto,Branch
YV64727,Washington,6692.143668,No,Premium,High School or Below,16.02.2011,Employed,M,63221,Suburban,Married,168,28,49,0,1,Corporate Auto,Agent
LM19287,Oregon,3731.504584,No,Extended,High School or Below,24.02.2011,Unemployed,F,0,Suburban,Married,96,31,34,0,1,Personal Auto,Agent
ZU18643,Nevada,3660.770258,No,Extended,Bachelor,18.01.2011,Employed,M,64495,Urban,Married,92,34,30,0,1,Corporate Auto,Web
AZ82578,California,7928.829252,No,Basic,College,30.01.2011,Unemployed,F,0,Suburban,Married,72,7,75,0,2,Corporate Auto,Call Center
XC67861,Arizona,5011.751577,No,Basic,Bachelor,01.09.2011,Employed,F,28859,Suburban,Divorced,67,24,51,3,4,Corporate Auto,Call Center
YC43143,Arizona,7988.258292,No,Extended,High School or Below,02.01.2011,Employed,F,77330,Rural,Married,99,0,21,0,3,Personal Auto,Web
EK59571,Oregon,3885.456401,No,Premium,College,28.02.2011,Unemployed,M,0,Suburban,Married,105,3,92,0,1,Corporate Auto,Branch
GD83998,Washington,2659.337982,No,Basic,Bachelor,31.01.2011,Employed,M,24495,Suburban,Single,70,29,65,0,1,Personal Auto,Branch
WA25797,Washington,8564.768226,No,Basic,High School or Below,17.02.2011,Employed,M,95697,Rural,Married,107,29,29,0,9,Personal Auto,Agent
PD27940,Arizona,4885.162511,No,Extended,High School or Below,02.12.2011,Disabled,M,26372,Suburban,Married,126,11,7,0,1,Personal Auto,Agent
BS77946,Arizona,9753.307106,No,Extended,Bachelor,24.02.2011,Medical Leave,F,17514,Rural,Married,127,2,5,0,3,Personal Auto,Branch
YM50253,California,2946.153697,No,Basic,Bachelor,02.01.2011,Employed,F,89270,Urban,Single,74,17,90,0,1,Personal Auto,Branch
NR15332,California,2581.110945,No,Basic,High School or Below,02.06.2011,Employed,M,29757,Suburban,Married,65,13,55,0,1,Personal Auto,Web
RC62865,Oregon,3517.385764,No,Extended,College,23.01.2011,Employed,M,51814,Rural,Single,92,28,89,0,1,Personal Auto,Agent
CC15295,Oregon,9743.350113,No,Extended,Bachelor,21.01.2011,Employed,F,24028,Suburban,Married,82,14,27,0,2,Personal Auto,Agent
KA61892,Arizona,3873.647046,No,Basic,College,20.01.2011,Retired,M,28142,Suburban,Married,105,18,50,0,1,Personal Auto,Agent
OS94884,Arizona,7649.28199,No,Basic,Bachelor,01.06.2011,Employed,F,52705,Rural,Married,64,14,8,1,2,Personal Auto,Web
ND87334,California,2287.59692,No,Basic,High School or Below,22.02.2011,Unemployed,M,0,Suburban,Married,63,1,5,0,1,Corporate Auto,Agent
ML93326,Washington,4475.424592,No,Basic,College,27.02.2011,Employed,F,84903,Urban,Married,111,7,63,0,1,Personal Auto,Agent
YL74911,California,8714.922135,No,Basic,College,21.02.2011,Unemployed,F,0,Suburban,Divorced,118,14,64,0,4,Personal Auto,Agent
JP69864,Washington,2248.449633,No,Basic,Bachelor,29.01.2011,Retired,F,24910,Suburban,Single,63,7,63,1,1,Personal Auto,Branch
HL53154,California,7416.197322,No,Extended,Bachelor,22.02.2011,Unemployed,M,0,Suburban,Single,77,15,12,2,2,Personal Auto,Agent
RI78966,Oregon,7771.158973,No,Basic,Master,21.02.2011,Medical Leave,M,21876,Suburban,Married,68,12,28,0,2,Personal Auto,Agent
IC13702,California,6968.3419,No,Basic,Bachelor,01.10.2011,Unemployed,F,0,Suburban,Single,69,33,61,1,2,Personal Auto,Agent
BE10809,California,4250.282624,No,Basic,High School or Below,18.01.2011,Unemployed,F,0,Suburban,Single,61,17,1,1,7,Personal Auto,Agent
HT87217,Oregon,19776.56654,No,Extended,High School or Below,16.01.2011,Employed,F,70699,Urban,Divorced,82,1,57,0,2,Personal Auto,Agent
TH95618,California,21343.46599,No,Basic,High School or Below,01.06.2011,Unemployed,F,0,Suburban,Married,74,11,85,1,2,Personal Auto,Agent
TS19868,California,2413.139714,No,Basic,College,27.01.2011,Medical Leave,M,27501,Suburban,Married,63,20,0,0,1,Personal Auto,Branch
LP45550,Oregon,15363.84716,No,Premium,Doctor,15.01.2011,Disabled,F,15897,Urban,Divorced,101,30,99,0,2,Personal Auto,Agent
QR87004,Nevada,8456.961887,No,Basic,College,01.09.2011,Employed,F,25141,Rural,Divorced,73,12,4,1,2,Personal Auto,Agent
OE75747,Nevada,2189.642522,No,Basic,College,28.01.2011,Unemployed,F,0,Suburban,Married,61,5,46,3,1,Personal Auto,Agent
DX91392,California,5780.182197,No,Basic,High School or Below,26.02.2011,Employed,M,51066,Suburban,Single,74,23,0,0,8,Personal Auto,Call Center
AB72731,California,4639.981638,No,Basic,Bachelor,01.04.2011,Employed,F,28358,Rural,Married,117,24,37,0,1,Personal Auto,Call Center
RU49126,Washington,4465.335703,No,Basic,College,02.01.2011,Employed,F,61846,Rural,Married,112,1,48,0,1,Personal Auto,Agent
IS12901,Arizona,5968.118877,No,Basic,Bachelor,27.01.2011,Employed,F,90972,Urban,Married,74,3,47,0,8,Personal Auto,Call Center
IX37561,Washington,5097.763337,No,Basic,College,14.02.2011,Unemployed,F,0,Suburban,Single,74,3,95,0,7,Personal Auto,Web
HH90090,California,4076.634665,No,Basic,Bachelor,23.01.2011,Employed,F,29549,Suburban,Divorced,104,17,51,0,1,Personal Auto,Call Center
IU25463,California,12252.60179,No,Premium,Bachelor,18.02.2011,Unemployed,F,0,Suburban,Married,115,12,17,1,2,Personal Auto,Agent
KC11055,Nevada,16936.27147,No,Extended,Bachelor,24.01.2011,Employed,F,39411,Suburban,Married,217,4,29,2,4,Personal Auto,Branch
PD33979,Oregon,4892.435461,No,Basic,High School or Below,18.02.2011,Employed,M,21709,Suburban,Married,62,28,17,0,3,Personal Auto,Branch
NK71023,Nevada,9942.304791,No,Extended,Bachelor,19.01.2011,Employed,M,67890,Suburban,Single,85,23,57,0,2,Personal Auto,Agent
AB13432,California,3735.838129,No,Basic,Bachelor,01.04.2011,Unemployed,M,0,Suburban,Single,110,3,16,0,1,Personal Auto,Agent
OZ97704,California,13117.52215,No,Basic,High School or Below,02.07.2011,Employed,F,84311,Suburban,Single,111,11,98,4,2,Personal Auto,Call Center
UF46533,California,4574.524094,No,Basic,College,30.01.2011,Employed,F,99316,Suburban,Single,114,26,53,0,1,Corporate Auto,Branch
XP47431,Arizona,5470.060561,No,Extended,Bachelor,17.02.2011,Employed,F,54507,Suburban,Married,138,20,11,0,1,Personal Auto,Agent
GK73582,California,2978.84601,No,Extended,Bachelor,13.01.2011,Employed,F,64586,Urban,Single,76,3,17,0,1,Personal Auto,Branch
RV98763,Oregon,6410.967544,No,Extended,College,02.08.2011,Employed,M,61709,Urban,Married,82,5,41,2,7,Personal Auto,Branch
II62831,California,4479.023088,No,Basic,Master,29.01.2011,Employed,M,94656,Urban,Married,111,12,79,1,1,Special Auto,Web
XK33449,California,2383.731879,No,Basic,High School or Below,02.05.2011,Unemployed,F,0,Suburban,Single,69,5,40,0,1,Special Auto,Branch
